Name	Major_Name	Marker	Queried_Name	Queried_Major_Name
F-RGC	RGC	Pou4f3		RGC
GANGLIONOTHER78	RGC	Eomes		RGC
GANGLIONOTHER78	RGC	Opn4		RGC
IPRGC	RGC	Adcyap1		RGC
IPRGC	RGC	Eomes		RGC
IPRGC	RGC	Opn4		RGC
IPRGC	RGC	Spp1		RGC
IPRGC	RGC	Tbx20		RGC
J-RGC	RGC	Jam2	5_J-RGC	RGC
J-RGC	RGC	Pcdh20	5_J-RGC	RGC
J-RGC	RGC	Tbr1	5_J-RGC	RGC
M1A	RGC	Adcyap1	40_M1dup	RGC
M1A	RGC	Lbhd2	40_M1dup	RGC
M1A	RGC	Opn4	40_M1dup	RGC
M1B	RGC	Nmb	33_M1	RGC
M2	RGC	Lbhd2	31_M2	RGC
M2	RGC	Spp1	31_M2	RGC
M2	RGC	Tbx20	31_M2	RGC
M3, M5, OR M6	RGC	Cdhr1	22_M5	RGC
M3, M5, OR M6	RGC	Serpine2	22_M5	RGC
M4	RGC	Il1rapl2		RGC
M4	RGC	Spp1		RGC
MAYBE T-OODSGC	RGC	Gpr88		RGC
MAYBE T-OODSGC	RGC	Tafa4		RGC
N-OODSGC	RGC	Cartpt		RGC
N-OODSGC	RGC	Mmp17		RGC
N-RGC	RGC	Neurod2		RGC
N-RGC	RGC	Satb2		RGC
NOVEL_11	RGC	Gm17750	11_Novel	RGC
NOVEL_11	RGC	Serpinb1b	11_Novel	RGC
NOVEL_14	RGC	Cartpt		RGC
NOVEL_14	RGC	Vit		RGC
NOVEL_15	RGC	Apela	15_Novel	RGC
NOVEL_18	RGC	Fads2b	18_Novel	RGC
NOVEL_18	RGC	Pcdh20	18_Novel	RGC
NOVEL_19	RGC	Penk	19_Novel	RGC
NOVEL_19	RGC	Prdm8	19_Novel	RGC
NOVEL_19	RGC	Slc24a2	19_Novel	RGC
NOVEL_20	RGC	Gal	20_Novel	RGC
NOVEL_20	RGC	Penk	20_Novel	RGC
NOVEL_25	RGC	Slc17a1	25_Novel	RGC
NOVEL_26	RGC	Igfbp	26_Novel	RGC
NOVEL_26	RGC	Penk	26_Novel	RGC
NOVEL_27	RGC	Prkcg	27_Novel	RGC
NOVEL_29	RGC	Prlr	29_Novel	RGC
NOVEL_29	RGC	Stxbp6	29_Novel	RGC
NOVEL_34	RGC	Tpbg	34_Novel	RGC
NOVEL_35	RGC	Chrm2	35_Novel	RGC
NOVEL_35	RGC	Igfbp4	35_Novel	RGC
NOVEL_36	RGC	Coch	36_Novel	RGC
NOVEL_36	RGC	Stxbp6	36_Novel	RGC
NOVEL_37	RGC	Cdh1	37_Novel	RGC
NOVEL_37	RGC	Ceacam	37_Novel	RGC
NOVEL_39	RGC	Neurod2	39_Novel	RGC
NOVEL_39	RGC	S100b	39_Novel	RGC
NOVEL_44	RGC	Bhlhe22	44_Novel	RGC
NOVEL_44	RGC	Fxyd6	44_Novel	RGC
NOVEL_7	RGC	Tagln2	7_Novel	RGC
NOVEL_7	RGC	Tbx20	7_Novel	RGC
NOVEL_8	RGC	Prkcq	8_Novel	RGC
NOVEL_8	RGC	Tac1	8_Novel	RGC
OODSGC	RGC	Cartpt		RGC
RGC	RGC	Cd90	RGC	RGC
RGC	RGC	Pou4f1	RGC	RGC
RGC	RGC	Pou4f2	RGC	RGC
RGC	RGC	Pou4f3	RGC	RGC
RGC	RGC	Rbpms	RGC	RGC
RGC	RGC	Slc17a6	RGC	RGC
RGC	RGC	Slc7a6	RGC	RGC
T-RGC	RGC	Calb2		RGC
T-RGC	RGC	Jam2		RGC
T-RGC	RGC	Pou4f2		RGC
T-RGC	RGC	Pou4f3		RGC
T-RGC	RGC	Tbr1		RGC
T5-RGC	RGC	Tusc5		RGC
T5/F-RGC	RGC	Foxp2		RGC
T5/F-RGC	RGC	Tusc5		RGC
TBR1-NOVEL	RGC	Plpp4	9_Tbr1_Novel	RGC
TBR1-NOVEL	RGC	Slc7a11	9_Tbr1_Novel	RGC
TBR1-S1	RGC	Irx4	17_Tbr1_S1	RGC
TBR1-S1	RGC	Tbr1	17_Tbr1_S1	RGC
TBR1-S2	RGC	Calca	21_Tbr1_S2	RGC
TBR1-S2	RGC	Tbr1	21_Tbr1_S2	RGC
V-OODSGC	RGC	Calb2		RGC
V-OODSGC	RGC	Cartpt		RGC
V-OODSGC	RGC	Col25a1		RGC
W3B	RGC	Sdk2	6_W3B	RGC
W3B	RGC	Zic1	6_W3B	RGC
W3D1	RGC	Lypd1	2_W3D1.2	RGC
W3D1	RGC	Lypd1	1_W3D1.1	RGC
W3D1	RGC	Lypd1	2_W3D1.2	RGC
W3D1	RGC	Lypd1	1_W3D1.1	RGC
W3D2	RGC	Prokr1	23_W3D2	RGC
W3D3	RGC	Postn		RGC
W3L1	RGC	Amigo2		RGC
W3L1	RGC	Serpine2		RGC
W3L2	RGC	Lypd1		RGC
W3L2	RGC	Ntrk1		RGC
ROD	ROD	Cd39	PHOTORECEPTOR	ROD
ROD	ROD	Pde6a	PHOTORECEPTOR	ROD
RPE	RPE	Rdh5	OTHER	RPE
RPE	RPE	Rlbp1	OTHER	RPE
RPE	RPE	Rpe65	OTHER	RPE
