Name	Major_Name	Marker	Ensembl	Major_Coefficient	Minor_Coefficient	Queried	Queried_Name	Queried_Marker	Queried_Major_Name	Parent_Name
AC10	AC	Grik2	Grik2		0.606973967228676	Queried	AC_10	Grik2	AC	
AC10	AC	Nrxn1	Nrxn1		0.311298322977611	Queried	AC_10	Nrxn1	AC	
AC11	AC	Kcnh5	Kcnh5		0.160371185706575	Queried	AC_11	Kcnh5	AC	
MOUSE AC	AC	Ly6h	Ly6h		0.209823710690008	Queried	AC_12	Ly6h	AC	
AC13	AC	Slc17a8	Slc17a8		0.640895044021119	Queried	AC_13	Slc17a8	AC	
AC14	AC	Cdk14	Cdk14		0.268333209653327	Queried	AC_14	Cdk14	AC	
AC14	AC	Gpm6b	Gpm6b		0.331470250155981	Queried	AC_14	Gpm6b	AC	
AC15	AC	Cacna2d3	Cacna2d3		0.201970811927663	Queried	AC_15	Cacna2d3	AC	
AC17	AC	Med12l	Med12l		0.109423806901141	Queried	AC_17	Med12l	AC	
AC17	AC	Sox2ot	Sox2ot		0.230468467701386	Queried	AC_17	Sox2ot	AC	
AC19	AC	Wwox	Wwox		0.376396937524958	Queried	AC_19	Wwox	AC	
AC20	AC	Dpf3	Dpf3		0.316614157573669	Queried	AC_20	Dpf3	AC	
AC29	AC	Glra1	Glra1		0.258187288982961	Queried	AC_29	Glra1	AC	
AC3	AC	Pak5	Pak5		0.272901488879423	Queried	AC_3	Pak5	AC	
AC3	AC	Pde8b	Pde8b		0.243293870012022	Queried	AC_3	Pde8b	AC	
AC36	AC	Atrnl1	Atrnl1		0.217375539437522	Queried	AC_36	Atrnl1	AC	
AC4	AC	Slc6a9	Slc6a9		0.386818697845246	Queried	AC_4	Slc6a9	AC	
AC49	AC	Phlda1	Phlda1		0.243799831951671	Queried	AC_49	Phlda1	AC	
AC59	AC	Plxdc2	Plxdc2		0.247951330416856	Queried	AC_59	Plxdc2	AC	
AC6	AC	Arhgef26	Arhgef26		0.283037646200149	Queried	AC_6	Arhgef26	AC	
ASTROCYTE	Astrocyte	Ccn1	Ccn1		0.217148578047729	Queried	Astrocyte	Ccn1	Astrocyte	
ASTROCYTE	Astrocyte	Csrp1	Csrp1		0.163521278797418	Queried	Astrocyte	Csrp1	Astrocyte	
ASTROCYTE	Astrocyte	Eftud2	Eftud2		0.405606413104076	Queried	Astrocyte	Eftud2	Astrocyte	
ASTROCYTE	Astrocyte	Fosb	Fosb		0.296571654585742	Queried	Astrocyte	Fosb	Astrocyte	
ASTROCYTE	Astrocyte	Gfap	Gfap		0.260365753793428	Queried	Astrocyte	Gfap	Astrocyte	
ASTROCYTE	Astrocyte	Mlc1	Mlc1		0.15767608061882	Queried	Astrocyte	Mlc1	Astrocyte	
ASTROCYTE	Astrocyte	Ppp1r15a	Ppp1r15a		0.160868726332075	Queried	Astrocyte	Ppp1r15a	Astrocyte	
ASTROCYTE	Astrocyte	Vcl	Vcl		0.290678286827831	Queried	Astrocyte	Vcl	Astrocyte	
ASTROCYTE	Astrocyte	Wwtr1	Wwtr1		0.187785485924861	Queried	Astrocyte	Wwtr1	Astrocyte	
ASTROCYTE	Astrocyte	Zswim6	Zswim6		0.164042104051846	Queried	Astrocyte	Zswim6	Astrocyte	
UNASSIGNED_BC	BC	St18	St18		0.317241607079364	Queried	UNASSIGNED_BC	St18	BC	
UNASSIGNED_BC	BC	Trpm3	Trpm3		0.359040500546155	Queried	UNASSIGNED_BC	Trpm3	BC	
