Marker,Name,Major_Coefficient,Parent_Name,Minor_Coefficient,Queried,Queried_Marker,Queried_Name,Queried_Parent_Name
Stmn2,RGC,0.474929801992591,RGC,,Queried,Stmn2,RGC,RGC
Nrn1,RGC,0.479246348298218,RGC,,Queried,Nrn1,RGC,RGC
Rbfox1,RGC,0.521082676814662,RGC,,Queried,Rbfox1,RGC,RGC
Hmgn1,RGC,0.526244930043985,RGC,,Queried,Hmgn1,RGC,RGC
Rbpms,RGC,0.999984022126286,RGC,,Queried,Rbpms,RGC,RGC
Rbms3,RGC,0.761460374989134,RGC,,Queried,Rbms3,RGC,RGC
Ebf1,RGC,0.711836230010168,RGC,,Queried,Ebf1,RGC,RGC
Kctd16,RGC,0.626358027988088,RGC,,Queried,Kctd16,RGC,RGC
Il1rapl1,RGC,0.478193147248311,RGC,,Queried,Il1rapl1,RGC,RGC
Kcnd2,RGC,0.537694756914797,RGC,,Queried,Kcnd2,RGC,RGC
Galntl6,RGC,0.666481533936804,RGC,,Queried,Galntl6,RGC,RGC
Rbp1,RPE,0.217961878184998,RPE,,Queried,Rbp1,RPE,RPE
Timp3,RPE,0.104484466905294,RPE,,Queried,Timp3,RPE,RPE
Trf,RPE,0.253655117612161,RPE,,Queried,Trf,RPE,RPE
Rpe65,RPE,0.356951836539473,RPE,,Queried,Rpe65,RPE,RPE
Vtn,RPE,0.100579537422458,RPE,,Queried,Vtn,RPE,RPE
Rgr,RPE,0.236068520877296,RPE,,Queried,Rgr,RPE,RPE
Mt3,RPE,0.0987818233030022,RPE,,Queried,Mt3,RPE,RPE
Rdh5,RPE,0.195425318339315,RPE,,Queried,Rdh5,RPE,RPE
Slc16a8,RPE,0.158149005483075,RPE,,Queried,Slc16a8,RPE,RPE
Slc16a1,RPE,0.165308132593619,RPE,,Queried,Slc16a1,RPE,RPE
Col8a1,RPE,0.103592213818699,RPE,,Queried,Col8a1,RPE,RPE
Ctsd,RPE,0.102914233735877,RPE,,Queried,Ctsd,RPE,RPE
Calb2,ROD,0.32474911832824,ROD,,Queried,Calb2,Rod,Rod
Rho,ROD,0.538663718511697,ROD,,Queried,Rho,Rod,Rod
Cmss1,ROD,0.544044706940829,ROD,,Queried,Cmss1,Rod,Rod
Sag,ROD,0.348940721731081,ROD,,Queried,Sag,Rod,Rod
Dmd,ROD,0.270123564397596,ROD,,Queried,Dmd,Rod,Rod
Rp1,ROD,0.272508413498042,ROD,,Queried,Rp1,Rod,Rod
Epb41,ROD,0.272485042438658,ROD,,Queried,Epb41,Rod,Rod
Pde6g,ROD,0.260567413581468,ROD,,Queried,Pde6g,Rod,Rod
Pcp4,ROD,0.430194057706529,ROD,,Queried,Pcp4,Rod,Rod
Nefm,ROD,0.291039077240398,ROD,,Queried,Nefm,Rod,Rod
Nefl,ROD,0.368924506229174,ROD,,Queried,Nefl,Rod,Rod
Cartpt,ROD,0.366767729909274,ROD,,Queried,Cartpt,Rod,Rod
