Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Galntl6,AC,AC_15,ENSMUSG00000096914,Galntl6,0.5639945091039406
Brinp3,AC,AC_15,ENSMUSG00000035131,Brinp3,0.3722323748547916
Gsta4,AC,AC_15,ENSMUSG00000032348,Gsta4,0.3862950833480036
Kcnip4,AC,AC_16,ENSMUSG00000029088,Kcnip4,0.4105231615742321
Sgcz,AC,AC_16,ENSMUSG00000039539,Sgcz,0.3189315916223332
Galntl6,AC,AC_16,ENSMUSG00000096914,Galntl6,0.2786271409468976
Dab1,AC,AC_16,ENSMUSG00000028519,Dab1,0.539582757957069
Pcdh9,AC,AC_16,ENSMUSG00000055421,Pcdh9,0.3266880113009344
Gabrb3,AC,AC_16,ENSMUSG00000033676,Gabrb3,0.3028473465301622
Six3,AC,AC_16,ENSMUSG00000038805,Six3,0.3166091943504671
Grm7,AC,AC_16,ENSMUSG00000056755,Grm7,0.2922085608115093
Zfp804a,AC,AC_16,ENSMUSG00000070866,Zfp804a,0.3474550522234145
Tfap2b,AC,AC_16,ENSMUSG00000025927,Tfap2b,0.438406448393013
Nrg1_ENSMUSG00000062991,AC,AC_16,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.3196370906937957
Tenm3,AC,AC_16,ENSMUSG00000031561,Tenm3,0.3612787916378675
Id4,AC,AC_16,ENSMUSG00000021379,Id4,0.2730258173239002
Dpp6,AC,AC_16,ENSMUSG00000061576,Dpp6,0.2872132263154171
Rbfox1,AC,AC_16,ENSMUSG00000008658,Rbfox1,0.27214820431944
Adarb2,AC,AC_16,ENSMUSG00000052551,Adarb2,0.3162366343598031
Inpp4b,AC,AC_16,ENSMUSG00000037940,Inpp4b,0.2880725451150251
Grid2,AC,AC_16,ENSMUSG00000071424,Grid2,0.291825095623875
Igfbp7,AC,AC_17,ENSMUSG00000036256,Igfbp7,0.2202848762416865
Sox2ot,AC,AC_17,ENSMUSG00000105265,Sox2ot,0.2340415061846273
Zmat4,AC,AC_17,ENSMUSG00000037492,Zmat4,0.173081357033038
Col25a1,AC,AC_17,ENSMUSG00000058897,Col25a1,0.2717767805989016
Etl4,AC,AC_17,ENSMUSG00000036617,Etl4,0.2707226942247803
Pcp4l1,AC,AC_17,ENSMUSG00000038370,Pcp4l1,0.1774214311522683
Hs3st5,AC,AC_17,ENSMUSG00000044499,Hs3st5,0.1419090751304203
Calb2,AC,AC_17,ENSMUSG00000003657,Calb2,0.3706851358560531
Hecw1,AC,AC_17,ENSMUSG00000021301,Hecw1,0.1788159932633151
Rbfox1,AC,AC_17,ENSMUSG00000008658,Rbfox1,0.2198215365652921
