Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Ebf1,RGC,17_Tbr1_S1,ENSMUSG00000057098,Ebf1,0.5436682927888091
Edil3,RGC,18_Novel,ENSMUSG00000034488,Edil3,0.4303800912835878
Spon1,RGC,18_Novel,ENSMUSG00000038156,Spon1,0.708142626031352
Grin2a,RGC,18_Novel,ENSMUSG00000059003,Grin2a,0.9963127418995554
Gabrb1,RGC,18_Novel,ENSMUSG00000029212,Gabrb1,0.4994287177377599
Dkk3,RGC,18_Novel,ENSMUSG00000030772,Dkk3,0.5065963107964359
Sphkap,RGC,18_Novel,ENSMUSG00000026163,Sphkap,0.5232124721907058
Cdh18,RGC,18_Novel,ENSMUSG00000040420,Cdh18,1.1688869701418811
Cntnap2,RGC,18_Novel,ENSMUSG00000039419,Cntnap2,0.4925235886844827
Mgarp,RGC,18_Novel,ENSMUSG00000037161,Mgarp,0.6623991562736048
Nrxn3,RGC,18_Novel,ENSMUSG00000066392,Nrxn3,0.5035148377792542
Thsd7a,RGC,18_Novel,ENSMUSG00000032625,Thsd7a,0.4334767160486484
Pou6f2,RGC,18_Novel,ENSMUSG00000009734,Pou6f2,0.7098474923163349
Pcdh17,RGC,18_Novel,ENSMUSG00000035566,Pcdh17,0.5464005474548498
Lrrtm4,RGC,18_Novel,ENSMUSG00000052581,Lrrtm4,0.776426565223465
Aldoc,RGC,18_Novel,ENSMUSG00000017390,Aldoc,0.4872484194339613
Sorcs1,RGC,19_Novel,ENSMUSG00000043531,Sorcs1,0.4787962483455633
Alcam,RGC,19_Novel,ENSMUSG00000022636,Alcam,0.6059260959938262
Brinp3,RGC,19_Novel,ENSMUSG00000035131,Brinp3,0.4715061084583306
Stmn1,RGC,19_Novel,ENSMUSG00000028832,Stmn1,0.4643171507364534
Penk,RGC,19_Novel,ENSMUSG00000045573,Penk,0.5317082226921499
Fstl5,RGC,19_Novel,ENSMUSG00000034098,Fstl5,0.5127438726689655
Csmd3,RGC,19_Novel,ENSMUSG00000022311,Csmd3,0.5166451262128176
6330403K07Rik,RGC,19_Novel,ENSMUSG00000018451,6330403K07Rik,0.5712469897620404
Nell1,RGC,19_Novel,ENSMUSG00000055409,Nell1,0.7336013725150319
Negr1,RGC,19_Novel,ENSMUSG00000040037,Negr1,0.6927377830590807
Tenm1,RGC,19_Novel,ENSMUSG00000016150,Tenm1,0.5637431192703675
Tafa1,RGC,19_Novel,ENSMUSG00000059187,Tafa1,0.7368682102034827
Tcf4,RGC,19_Novel,ENSMUSG00000053477,Tcf4,0.777509515831861
Hs6st3,RGC,19_Novel,ENSMUSG00000053465,Hs6st3,0.7953008971550236
Lrrc4c,RGC,19_Novel,ENSMUSG00000050587,Lrrc4c,0.9428845871109132
Schip1,RGC,19_Novel,ENSMUSG00000027777,Schip1,0.870584916299884
Pex5l,RGC,1_W3D1.1,ENSMUSG00000027674,Pex5l,0.6088614931445834
Alcam,RGC,1_W3D1.1,ENSMUSG00000022636,Alcam,0.5130219584574863
Rps17,RGC,1_W3D1.1,ENSMUSG00000061787,Rps17,0.5765773593373907
Galntl6,RGC,1_W3D1.1,ENSMUSG00000096914,Galntl6,0.6543815942734638
Cntnap5a,RGC,1_W3D1.1,ENSMUSG00000070695,Cntnap5a,0.7375912912837327
Sgcz,RGC,1_W3D1.1,ENSMUSG00000039539,Sgcz,0.507411941595183
Ptprm,RGC,1_W3D1.1,ENSMUSG00000033278,Ptprm,0.6843050338083037
Tubb5,RGC,1_W3D1.1,ENSMUSG00000001525,Tubb5,0.5697521731173467
Tuba1a,RGC,1_W3D1.1,ENSMUSG00000072235,Tuba1a,0.8102915916845858
Ncam2,RGC,1_W3D1.1,ENSMUSG00000022762,Ncam2,0.8660586607807478
Pcdh10,RGC,1_W3D1.1,ENSMUSG00000049100,Pcdh10,0.7288884816318495
Rit2,RGC,1_W3D1.1,ENSMUSG00000057455,Rit2,0.5069468406321065
Penk,RGC,20_Novel,ENSMUSG00000045573,Penk,0.9740103559068836
Hcn1,RGC,20_Novel,ENSMUSG00000021730,Hcn1,0.4546848378463936
Pcdh9,RGC,20_Novel,ENSMUSG00000055421,Pcdh9,1.0301149009674957
Chrm3,RGC,20_Novel,ENSMUSG00000046159,Chrm3,0.4709958124434479
