Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Scg2,RGC,25_Novel,ENSMUSG00000050711,Scg2,0.4449166736126442
Rgs6,RGC,25_Novel,ENSMUSG00000021219,Rgs6,0.6511422045200552
Nefm,RGC,25_Novel,ENSMUSG00000022054,Nefm,0.3471783462019551
Rbpms2,RGC,25_Novel,ENSMUSG00000032387,Rbpms2,0.4016258313385951
Kirrel3,RGC,25_Novel,ENSMUSG00000032036,Kirrel3,0.7397264513613961
Grin2a,RGC,25_Novel,ENSMUSG00000059003,Grin2a,0.3743213308890067
Ebf1,RGC,25_Novel,ENSMUSG00000057098,Ebf1,0.3392469680962463
Pcdh17,RGC,25_Novel,ENSMUSG00000035566,Pcdh17,0.3558534223073742
Grid2,RGC,25_Novel,ENSMUSG00000071424,Grid2,0.945325403325492
Cplx1,RGC,25_Novel,ENSMUSG00000033615,Cplx1,0.5110974700961313
Pax6,RGC,25_Novel,ENSMUSG00000027168,Pax6,0.3033262501823975
Lrrtm4,RGC,26_Novel,ENSMUSG00000052581,Lrrtm4,0.5732417488412281
Unc5d,RGC,26_Novel,ENSMUSG00000063626,Unc5d,0.8277966738219757
Meis2,RGC,26_Novel,ENSMUSG00000027210,Meis2,0.7408566764238503
Ldhb,RGC,26_Novel,ENSMUSG00000030246,Ldhb,0.6109207202529932
Kcnq5,RGC,26_Novel,ENSMUSG00000028033,Kcnq5,0.8453558173445576
Pcdh11x,RGC,26_Novel,ENSMUSG00000034755,Pcdh11x,1.0635492572948124
Sorcs3,RGC,26_Novel,ENSMUSG00000063434,Sorcs3,0.8235236402527017
Penk,RGC,26_Novel,ENSMUSG00000045573,Penk,1.2660045872003265
Pcdh15,RGC,26_Novel,ENSMUSG00000052613,Pcdh15,0.6310927447842146
Nell1,RGC,26_Novel,ENSMUSG00000055409,Nell1,0.5469697210908601
Cplx1,RGC,26_Novel,ENSMUSG00000033615,Cplx1,0.6424867028189938
Sorcs1,RGC,26_Novel,ENSMUSG00000043531,Sorcs1,1.038803041466123
Nrg1_ENSMUSG00000062991,RGC,26_Novel,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.5538758369034307
Sgcz,RGC,26_Novel,ENSMUSG00000039539,Sgcz,1.1358751968542675
Pcdh7,RGC,26_Novel,ENSMUSG00000029108,Pcdh7,0.6562785545349199
Grm5,RGC,26_Novel,ENSMUSG00000049583,Grm5,0.6569068753194819
Alcam,RGC,26_Novel,ENSMUSG00000022636,Alcam,0.7053690563484043
Pvalb,RGC,27_Novel,ENSMUSG00000005716,Pvalb,0.8066348874262996
Ebf3,RGC,27_Novel,ENSMUSG00000010476,Ebf3,0.4456597779449228
Sdk1,RGC,27_Novel,ENSMUSG00000039683,Sdk1,0.80958913426758
Cplx1,RGC,27_Novel,ENSMUSG00000033615,Cplx1,0.4161231014311669
Ldhb,RGC,27_Novel,ENSMUSG00000030246,Ldhb,0.3617102502627095
Kirrel3,RGC,27_Novel,ENSMUSG00000032036,Kirrel3,0.5514774592557944
Nrn1,RGC,27_Novel,ENSMUSG00000039114,Nrn1,0.3571389377460976
Nrgn,RGC,27_Novel,ENSMUSG00000053310,Nrgn,1.0533528986909082
Sorcs1,RGC,27_Novel,ENSMUSG00000043531,Sorcs1,0.8120552566227757
