Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Ptprm,AC,AC_23,ENSMUSG00000033278,Ptprm,0.477213730114026
AI593442,AC,AC_23,ENSMUSG00000078307,AI593442,0.3530983593613842
Robo1,AC,AC_23,ENSMUSG00000022883,Robo1,0.395734519427722
Scg2,AC,AC_23,ENSMUSG00000050711,Scg2,0.6412290207614026
Aldoc,AC,AC_23,ENSMUSG00000017390,Aldoc,0.4633418141445325
Sorcs1,AC,AC_23,ENSMUSG00000043531,Sorcs1,0.2670984889656302
Slc8a1,AC,AC_23,ENSMUSG00000054640,Slc8a1,0.2487472049196091
Prkg1,AC,AC_24,ENSMUSG00000052920,Prkg1,0.4061781646833984
Gpc6,AC,AC_24,ENSMUSG00000058571,Gpc6,0.3031517474251886
Kcnb2,AC,AC_24,ENSMUSG00000092083,Kcnb2,0.3390034954584631
Phactr1,AC,AC_24,ENSMUSG00000054728,Phactr1,0.244965792896065
Sorcs3,AC,AC_24,ENSMUSG00000063434,Sorcs3,0.2664045669092881
Cntnap5b,AC,AC_24,ENSMUSG00000067028,Cntnap5b,0.3948716213606713
