Gene,Cell Type,Gene,Coefficient
Meis2,26_Novel,Meis2,0.4233151609385396
Nxph1,26_Novel,Nxph1,0.4314246501026324
Aldoc,26_Novel,Aldoc,0.3353885922353209
Sgcz,26_Novel,Sgcz,0.7610374862397107
Penk,26_Novel,Penk,0.6584990553023641
C130073E24Rik,26_Novel,C130073E24Rik,0.3510116361847599
Pcdh11x,26_Novel,Pcdh11x,0.7005400815524156
Cplx1,26_Novel,Cplx1,0.5784136657354304
Fabp5,26_Novel,Fabp5,0.3386919992764969
Vsnl1,26_Novel,Vsnl1,0.3701764129351965
Nell1,26_Novel,Nell1,0.4786006245848403
Pcdh15,26_Novel,Pcdh15,0.4570898572070421
Sorcs3,26_Novel,Sorcs3,0.4381365184573109
Sorcs1,26_Novel,Sorcs1,0.664377345456541
Grm5,26_Novel,Grm5,0.3745066391564741
Igfbp5,26_Novel,Igfbp5,0.7836147981873928
Pcdh7,26_Novel,Pcdh7,0.4304781368069437
Lrrtm4,26_Novel,Lrrtm4,0.4341536687274911
Kcnq5,26_Novel,Kcnq5,0.6105822460778118
Cntnap2,27_Novel,Cntnap2,0.4064944087326538
Cplx1,27_Novel,Cplx1,0.3860930256726994
Nrn1,27_Novel,Nrn1,0.5238678222289272
Nrgn,27_Novel,Nrgn,0.9071317916132045
Sgcz,27_Novel,Sgcz,0.3102786937682695
Nefm,27_Novel,Nefm,0.3952934825275723
Sorcs1,27_Novel,Sorcs1,0.705226863027367
Sgcd,27_Novel,Sgcd,0.7108124797849067
Kirrel3,27_Novel,Kirrel3,0.3358061791182356
Sox6,27_Novel,Sox6,0.4984635991620469
Pvalb,27_Novel,Pvalb,0.6776512097152231
Kcnip1,27_Novel,Kcnip1,0.4928406746249634
Atp1b1,27_Novel,Atp1b1,0.4373997810258257
Alk,27_Novel,Alk,0.5272597963042154
Sdk1,27_Novel,Sdk1,0.6636780549765953
Ebf3,27_Novel,Ebf3,0.4185598153813683
Dab1,27_Novel,Dab1,0.31675494602407
Cck,27_Novel,Cck,0.4098778107711229
Nefm,28_FmidiOFF,Nefm,0.3331781113817312
Foxp2,28_FmidiOFF,Foxp2,0.3285110681780727
Cntn5,28_FmidiOFF,Cntn5,0.4561866584428101
Gabra2,28_FmidiOFF,Gabra2,0.3679341930659566
Robo1,28_FmidiOFF,Robo1,0.4721129839036838
Rprm,28_FmidiOFF,Rprm,0.3893154160898129
Tac1,28_FmidiOFF,Tac1,1.0218923775218989
Pvalb,28_FmidiOFF,Pvalb,0.573607966540834
Pcdh9,28_FmidiOFF,Pcdh9,0.5242006254251348
Kcnb2,28_FmidiOFF,Kcnb2,0.3966565970452853
Serpine2,28_FmidiOFF,Serpine2,0.3534674263396322
Cplx2,28_FmidiOFF,Cplx2,0.5462485573179201
Ywhah,28_FmidiOFF,Ywhah,0.3805267511711293
Frmpd4,28_FmidiOFF,Frmpd4,0.3558186718709032
Unc13c,28_FmidiOFF,Unc13c,0.3439667047147893
Sphkap,28_FmidiOFF,Sphkap,0.3819305471032854
Vsnl1,28_FmidiOFF,Vsnl1,0.3779648507184439
Pcdh11x,28_FmidiOFF,Pcdh11x,0.4841050899178124
Stxbp6,29_Novel,Stxbp6,0.5359124327361492
Rgs4,29_Novel,Rgs4,0.6686217700982302
Gm32647,29_Novel,Gm32647,0.5393934196249756
Cpne5,29_Novel,Cpne5,0.8658606498922651
Lrrtm4,29_Novel,Lrrtm4,0.5738781371512641
Grid2,29_Novel,Grid2,0.6961151274879162
Isl1,29_Novel,Isl1,0.508406680295378
Grm1,29_Novel,Grm1,0.4518076997028978
Sparcl1,29_Novel,Sparcl1,0.4412318001630297
Cplx1,29_Novel,Cplx1,0.8897053228583106
Sphkap,29_Novel,Sphkap,0.5369697459713031
Gabrb1,29_Novel,Gabrb1,0.5564277647383187
Nlgn1,29_Novel,Nlgn1,0.6368652058780823
Brinp3,29_Novel,Brinp3,0.4549515107833431
Meis2,29_Novel,Meis2,1.1535574997458586
Ebf1,29_Novel,Ebf1,0.5893292324130357
Cntnap2,29_Novel,Cntnap2,0.6364744705474813
Ppp1r17,2_W3D1.2,Ppp1r17,1.0003526906256932
Grin2a,2_W3D1.2,Grin2a,1.084053935042456
Pou6f2,2_W3D1.2,Pou6f2,1.1992247701372825
Grm5,2_W3D1.2,Grm5,0.4905082285993942
Csmd3,2_W3D1.2,Csmd3,0.6050419072226592
Gpc6,2_W3D1.2,Gpc6,0.8633794611798222
Cpne4,2_W3D1.2,Cpne4,0.6973023305401045
Chst9,2_W3D1.2,Chst9,0.5068831603358867
Sdk1,2_W3D1.2,Sdk1,1.2030552693444798
Ano3,2_W3D1.2,Ano3,0.9286541097448716
Tshz2,2_W3D1.2,Tshz2,0.6062336717581993
D130009I18Rik,2_W3D1.2,D130009I18Rik,1.0762156498828286
Khdrbs2,2_W3D1.2,Khdrbs2,0.5549193237470627
Tafa1,2_W3D1.2,Tafa1,0.66261289937984
Thsd7b,2_W3D1.2,Thsd7b,0.7669685396369602
Tppp3,2_W3D1.2,Tppp3,0.5264889567415567
Tac1,2_W3D1.2,Tac1,1.1498100669112874
Nrgn,2_W3D1.2,Nrgn,0.6144111924182832
Thrb,30_Novel,Thrb,0.5961564436245973
Nkain3,30_Novel,Nkain3,0.7573829869330697
Vgf,30_Novel,Vgf,1.443807917037718
Rbpms,30_Novel,Rbpms,0.4596366732347089
Cd63,30_Novel,Cd63,0.7300569636276459
Fos,30_Novel,Fos,0.4614678590068996
Cntn5,30_Novel,Cntn5,1.056689319895624
Kcnd2,30_Novel,Kcnd2,1.5636284546198052
Pcdh7,30_Novel,Pcdh7,0.5088694044770128
Pou6f2,30_Novel,Pou6f2,0.6457317969103556
Galntl6,30_Novel,Galntl6,0.7776469657348266
Gm32647,30_Novel,Gm32647,0.668771309906257
Lrp1b,30_Novel,Lrp1b,0.8776739960735905
Aldoc,30_Novel,Aldoc,0.6651376548787259
Trarg1,30_Novel,Trarg1,0.5084757861432136
Calb1,30_Novel,Calb1,1.0124839653391196
Thsd7b,31_M2,Thsd7b,0.395331954636783
Dlgap1,31_M2,Dlgap1,0.4088236298547582
Fabp5,31_M2,Fabp5,0.4224214010852388
Gm32647,31_M2,Gm32647,0.7890763901530252
Tbx20,31_M2,Tbx20,0.3929534531662457
Rgs4,31_M2,Rgs4,0.5708302493881562
Ctxn3,31_M2,Ctxn3,0.6032609847892068
Opn4,31_M2,Opn4,0.4892451147446918
Nell1,31_M2,Nell1,0.5010118140106026
Man1a,31_M2,Man1a,0.3463307676978376
Lrrc4c,31_M2,Lrrc4c,0.3231749670811396
Pcdh9,31_M2,Pcdh9,0.4085763183667004
Ntrk3,31_M2,Ntrk3,0.4022248122246229
Lrp1b,31_M2,Lrp1b,0.3515638004182841
Sdk1,31_M2,Sdk1,0.4234228211861283
Scg2,31_M2,Scg2,0.3803197622326624
Astn2,31_M2,Astn2,0.3237925235013584
Spp1,31_M2,Spp1,0.908746150361794
Junb,31_M2,Junb,0.3342305930495077
Igfbp5,31_M2,Igfbp5,0.3261228070986841
Dlgap1,32_F_Novel,Dlgap1,0.3913131027329206
Ptprm,32_F_Novel,Ptprm,0.2222853947988805
Cntnap2,32_F_Novel,Cntnap2,0.2538061439114382
Vsnl1,32_F_Novel,Vsnl1,0.2282390110322626
Egfem1,32_F_Novel,Egfem1,0.3478301876139777
Pals2,32_F_Novel,Pals2,0.2277588615904922
Scg2,32_F_Novel,Scg2,0.26646150943208
Fat3,32_F_Novel,Fat3,0.2556697761619032
Ntng1,32_F_Novel,Ntng1,0.6631440973081218
Vgf,32_F_Novel,Vgf,0.3679025310709384
Sgcz,32_F_Novel,Sgcz,0.4140780843117389
Coch,32_F_Novel,Coch,0.8634240196857375
Foxp2,32_F_Novel,Foxp2,0.6243848591715365
Meis2,32_F_Novel,Meis2,0.4095816735250577
Lrrtm4,32_F_Novel,Lrrtm4,0.2300916050019604
Galntl6,32_F_Novel,Galntl6,0.4176379367284547
Spon1,32_F_Novel,Spon1,0.499349837436673
Lmo4,32_F_Novel,Lmo4,0.3674970999984839
Resp18,33_M1,Resp18,0.5578153237033158
Asic2,33_M1,Asic2,0.3377190117234088
Kcnq5,33_M1,Kcnq5,0.3397561184925557
Rprm,33_M1,Rprm,0.4968706490435429
Fabp5,33_M1,Fabp5,0.4473857888197903
Lingo2,33_M1,Lingo2,0.2881709378730623
Cdh18,33_M1,Cdh18,0.3746800355280597
Pcdh9,33_M1,Pcdh9,0.3655681334668482
Opn4,33_M1,Opn4,0.4224336755259543
Npas3,33_M1,Npas3,0.5363951228257082
Gpc5,33_M1,Gpc5,0.4595067739303863
Synpr,33_M1,Synpr,0.3642751082578441
Nell1,33_M1,Nell1,0.3569673984478761
Clstn2,33_M1,Clstn2,0.2895727481658414
Crim1,33_M1,Crim1,0.3181801058424292
Csmd1,33_M1,Csmd1,0.4805851924214093
Cntnap2,33_M1,Cntnap2,0.2812862462220745
Cntn5,33_M1,Cntn5,0.4855958208535222
Cpne5,33_M1,Cpne5,0.3978906218573604
Ldhb,34_Novel,Ldhb,0.4829601852249618
Sorcs1,34_Novel,Sorcs1,0.4609186511784273
Sparcl1,34_Novel,Sparcl1,0.4320437033827017
Cntnap5a,34_Novel,Cntnap5a,0.4057432847481004
S100b,34_Novel,S100b,0.5136943703700996
Nefm,34_Novel,Nefm,0.3937068181276636
Lrrtm4,34_Novel,Lrrtm4,0.3632087978727323
Ryr3,34_Novel,Ryr3,0.42510100229
Pcdh7,34_Novel,Pcdh7,0.5751051934367652
Mafb,34_Novel,Mafb,0.3630836245779646
Kcnd2,34_Novel,Kcnd2,0.338196533734421
Kcnip1,34_Novel,Kcnip1,0.5406344803430017
Meis2,34_Novel,Meis2,1.113815477303822
Ntng1,34_Novel,Ntng1,0.4638897662749325
Cplx1,34_Novel,Cplx1,0.5556900002561916
Cpne4,34_Novel,Cpne4,0.8359855363554155
Tpbg,34_Novel,Tpbg,0.3632097952020447
Vsnl1,34_Novel,Vsnl1,0.5573182283830572
Sgcd,34_Novel,Sgcd,0.3762001392689014
Bhlhe22,35_Novel,Bhlhe22,0.4814688157642247
