Name	Marker	Curated	Queried
AC47	Gucy1a1		Queried
AC5	Gucy1a1		Queried
AC14	Gulo	Curated	
AC	Hcn1		Queried
AC51	Hcn1		Queried
AC17	Hecw1		Queried
AC24	Hif1a		Queried
AC35	Hpgd		Queried
AC5	Hpgd		Queried
AC17	Hs3st5		Queried
AC15	Hs6st3		Queried
AC18	Hs6st3		Queried
AC19	Hs6st3		Queried
AC25	Hs6st3		Queried
AC28	Hs6st3		Queried
AC31	Hs6st3		Queried
AC37	Hs6st3		Queried
AC4	Hs6st3		Queried
AC40	Hs6st3		Queried
AC45	Hs6st3		Queried
AC2	Id4		Queried
AC29	Id4		Queried
AC38	Id4		Queried
AC53	Igfbp2		Queried
AC59	Igfbp2	Curated	
AC6	Igfbp2		Queried
AC17	Igfbp7		Queried
AC36	Igfbp7		Queried
AC27	Igsf3	Curated	
AC18	Il1rapl1		Queried
AC7	Il1rapl1		Queried
AC15	Il1rapl2		Queried
AC18	Il1rapl2		Queried
AC20	Il1rapl2		Queried
AC25	Il1rapl2		Queried
AC31	Il1rapl2		Queried
AC50	Impact		Queried
AC14	Inpp4b		Queried
AC16	Inpp4b		Queried
AC27	Inpp4b		Queried
AC59	Inpp4b		Queried
AC17	Isl1		Queried
AC13	Itm2b		Queried
AC34	Itm2c		Queried
AC2	Kcna6		Queried
AC32	Kcna6		Queried
AC18	Kcnab1		Queried
AC8	Kcnab1		Queried
AC17	Kcnb2		Queried
AC24	Kcnb2		Queried
AC39	Kcnb2		Queried
AC4	Kcnb2		Queried
AC11	Kcnd2		Queried
AC38	Kcnd2		Queried
AC41	Kcnd2		Queried
AC56	Kcnd2		Queried
AC4	Kcnh7		Queried
AC46	Kcnh7		Queried
AC23	Kcnip1		Queried
AC26	Kcnip1		Queried
AC32	Kcnip1		Queried
AC37	Kcnip1		Queried
AC38	Kcnip1		Queried
AC45	Kcnip1		Queried
AC5	Kcnip1		Queried
AC	Kcnip4		Queried
AC10	Kcnip4		Queried
AC15	Kcnip4		Queried
AC36	Kcnip4		Queried
AC41	Kcnip4		Queried
AC43	Kcnip4		Queried
AC5	Kcnip4		Queried
AC7	Kcnip4		Queried
AC9	Kcnip4		Queried
AC3	Kcnma1		Queried
AC53	Kcnma1		Queried
AC36	Kctd12	Curated	
AC24	Kctd16		Queried
AC41	Kctd16		Queried
AC60	Kctd16		Queried
AC40	Kctd8		Queried
AC16	Khdrbs3		Queried
