Cell Type,Gene,Coefficient
17_Tbr1_S1,Lrrc4c,0.7445334185917996
17_Tbr1_S1,Cntnap5a,0.7172498800508769
17_Tbr1_S1,Cartpt,0.6251390177026279
17_Tbr1_S1,Ctxn3,0.6165840973246689
17_Tbr1_S1,Rprm,0.5640454384985465
17_Tbr1_S1,Pcp4,0.5495286877965374
17_Tbr1_S1,Hs3st4,0.5373806848982322
17_Tbr1_S1,Nrg1_ENSMUSG00000062991,0.4891318323417396
17_Tbr1_S1,Pou6f2,0.47409385933899395
17_Tbr1_S1,Ntng1,0.4592330054981841
17_Tbr1_S1,Kirrel3,0.45395733634802354
17_Tbr1_S1,Csmd1,0.43376982121782165
17_Tbr1_S1,Rgs4,0.41648773458077665
17_Tbr1_S1,Inpp4b,0.4086665792140363
17_Tbr1_S1,Crhbp,0.40393990776684974
17_Tbr1_S1,Ebf1,0.37688289351837684
17_Tbr1_S1,Zmat4,0.37204895894355355
17_Tbr1_S1,Sema5a,0.3415379669058504
17_Tbr1_S1,Kcnip4,-0.6254402214070823
17_Tbr1_S1,Gabrg3,-0.5111023906630394
17_Tbr1_S1,Ralyl,-0.4965334690953527
17_Tbr1_S1,Synpr,-0.46849158536219915
17_Tbr1_S1,Ftl1,-0.46667312373236325
17_Tbr1_S1,Lrp1b,-0.4608343166177959
17_Tbr1_S1,Actb,-0.44764531008938135
17_Tbr1_S1,Pcdh7,-0.4413046928999231
17_Tbr1_S1,Bc1,-0.4174514534260694
17_Tbr1_S1,Cntn4,-0.4121751089121273
17_Tbr1_S1,Cpne4,-0.41096206030407056
17_Tbr1_S1,Kcnd2,-0.3865975147312039
17_Tbr1_S1,mt-Nd1,-0.3807758467596159
17_Tbr1_S1,Cst3,-0.37255500776749473
17_Tbr1_S1,Alk,-0.3706184633414578
17_Tbr1_S1,Galntl6,-0.36597177756348026
17_Tbr1_S1,Cmss1,-0.3573196260234076
17_Tbr1_S1,Lrrtm4,-0.35015075714340105
17_Tbr1_S1,Frmd5,-0.34814286051178783
17_Tbr1_S1,Cd81,-0.3331918245366918
18_Novel,Grin2a,1.0199465776513896
18_Novel,Lrrtm4,0.9641834847134182
18_Novel,Cdh18,0.8809288271980044
18_Novel,Pou6f2,0.827579815060488
18_Novel,Spon1,0.6605045284896994
18_Novel,Rgs6,0.5877969820391197
18_Novel,Aldoc,0.5672475418533299
18_Novel,Adamts5,0.556164672368685
18_Novel,Il1rapl1,0.5386727805234011
18_Novel,Pcdh9,0.5386276467183134
18_Novel,Vgf,0.5331325703344179
18_Novel,Csmd1,0.5236516431495081
18_Novel,Spock1,0.5234204481509811
18_Novel,Cntnap2,0.511507377632362
18_Novel,Sncg,0.46174440070023964
18_Novel,Nefl,0.4335358382842309
18_Novel,Nrn1,0.4316565083392784
18_Novel,Nefm,0.4267626555627159
18_Novel,Rbpms,0.4003966084429768
18_Novel,Etl4,0.39851204834930104
18_Novel,Pcp4,-1.1557503323279021
18_Novel,Sorcs1,-0.8411666078214114
18_Novel,Synpr,-0.7624263706874188
18_Novel,Grm7,-0.7354381553822573
18_Novel,Cartpt,-0.6746079809196677
18_Novel,Tenm2,-0.653599672471795
18_Novel,Calb2,-0.632659380792863
18_Novel,Lrp1b,-0.578687053314288
18_Novel,Slc8a1,-0.5670967993528087
18_Novel,mt-Nd1,-0.5617948760606315
18_Novel,Marchf1,-0.49207123755389937
18_Novel,Schip1,-0.49000874932714544
18_Novel,Ftl1,-0.4882130899968154
18_Novel,Grid2,-0.4657305143389917
18_Novel,Clstn2,-0.4570546236657896
18_Novel,Lrrc4c,-0.4565410518913141
18_Novel,Ptn,-0.4519495707747949
18_Novel,Trpm3,-0.45088898233182695
18_Novel,Tenm3,-0.4333109743951342
18_Novel,Mt1,-0.41666516126741016
19_Novel,Penk,0.7523821165529598
19_Novel,Schip1,0.7312511696156834
19_Novel,Lrrc4c,0.6599790585856748
19_Novel,Nell1,0.5927895346856445
19_Novel,Tafa1,0.5752756573787225
19_Novel,Pcdh9,0.5641348510362905
19_Novel,Hs6st3,0.4738025739398173
19_Novel,Alcam,0.4695285225354409
19_Novel,Nefm,0.423462592712765
19_Novel,Ebf3,0.4091239517099863
19_Novel,Csmd3,0.4007453383571476
19_Novel,Nefl,0.3923544997022794
19_Novel,Tenm1,0.3923063965651832
19_Novel,Ldb2,0.38879774479635965
19_Novel,Brinp3,0.38483807060209413
19_Novel,Prdm8,0.376585407109153
19_Novel,Nkain3,0.35068250686880853
19_Novel,Sorcs1,0.32394556431507104
19_Novel,Kcnh7,0.3143845007859043
19_Novel,Id4,0.2925541560727168
19_Novel,Calb2,-0.828181294413936
19_Novel,Tenm2,-0.6808256093107719
19_Novel,Meis2,-0.6258906737470631
19_Novel,Aldoc,-0.5310709267716698
19_Novel,Dlgap1,-0.5274741119981396
19_Novel,Scg2,-0.5012372133177655
19_Novel,Kcnip4,-0.4976570141961398
19_Novel,Ebf1,-0.4962057807063347
19_Novel,Hcn1,-0.4625875829580479
19_Novel,Ly6h,-0.45659090728015045
19_Novel,Khdrbs2,-0.44612275982293814
19_Novel,Zfp804b,-0.4237858698803741
19_Novel,mt-Nd1,-0.4135640044442439
19_Novel,Kcnb2,-0.3588919781093676
19_Novel,Grip1,-0.355205117370618
19_Novel,Nlgn1,-0.3531016079613254
19_Novel,Cntnap2,-0.35171215995524807
19_Novel,Dmd,-0.3470756714534803
19_Novel,Fat3,-0.3466934377962157
19_Novel,Sntg1,-0.33755733978101693
1_W3D1.1,Ncam2,1.071694885492846
1_W3D1.1,Pcdh10,1.026052035312679
1_W3D1.1,Calb2,0.9807783727432141
1_W3D1.1,Hspb1,0.9283955307374211
1_W3D1.1,Cntnap5a,0.8509513364162667
1_W3D1.1,C130073E24Rik,0.6580616173695558
1_W3D1.1,Ptprm,0.6462427321241051
1_W3D1.1,Sgcz,0.6242478833429613
1_W3D1.1,Alcam,0.6146843313130175
1_W3D1.1,Kcnc2,0.600362844894487
1_W3D1.1,Serpine2,0.5978500262158518
1_W3D1.1,Megf11,0.5825050667916147
1_W3D1.1,Gm45323,0.5528239857409318
1_W3D1.1,Rbpms2,0.5365509573436031
1_W3D1.1,Gbe1,0.5304715396066597
1_W3D1.1,Mgat4c,0.5233141632505621
1_W3D1.1,Nrn1,0.4797888606847415
1_W3D1.1,Brinp3,0.4753886431960628
1_W3D1.1,Phactr1,0.47351296187374325
1_W3D1.1,Ghr,0.4691106077978309
1_W3D1.1,Kcnip4,-1.6810478385109244
1_W3D1.1,Frmd5,-0.9919784108942469
1_W3D1.1,Prkg1,-0.9827797005358485
1_W3D1.1,Sdk1,-0.9441258544508578
1_W3D1.1,Tafa1,-0.9172557273049801
1_W3D1.1,Robo1,-0.8315803978134134
1_W3D1.1,Atp1b1,-0.8079603326415418
1_W3D1.1,Gria4,-0.7965077072924083
1_W3D1.1,Cartpt,-0.7648118951620809
1_W3D1.1,Pou6f2,-0.7367587367846667
1_W3D1.1,Tac1,-0.7317348321105672
1_W3D1.1,Ppp1r17,-0.6997060512465546
1_W3D1.1,Car2,-0.6964625207291094
1_W3D1.1,Sphkap,-0.6828219192439361
1_W3D1.1,Kirrel3,-0.6607498818087703
1_W3D1.1,Gpc6,-0.6271970593068009
1_W3D1.1,Nckap5,-0.6240183286158583
1_W3D1.1,Unc5c,-0.6195628853207054
1_W3D1.1,Grik2,-0.6172726281764429
1_W3D1.1,Grm8,-0.6132310337673588
20_Novel,Penk,1.4837648218586676
20_Novel,Meis2,1.2056056571118572
20_Novel,Luzp2,0.943987602010229
20_Novel,Pcdh9,0.869944239860425
20_Novel,Prdm8,0.8013137520584819
20_Novel,Tshz2,0.7446867896168645
20_Novel,Resp18,0.7260604663109106
20_Novel,Gal,0.7146157318948838
20_Novel,Gm32647,0.6516148854882489
20_Novel,Cntn5,0.6197112329795246
20_Novel,Kcnip4,0.5989246009192268
20_Novel,Chrm3,0.5943646582348592
20_Novel,Gpx3,0.5881035616148603
20_Novel,Gpc6,0.5825231071230609
20_Novel,Nfib,0.5598397192198324
20_Novel,Lurap1l,0.5559251124099068
20_Novel,Nnat,0.5491704805972546
20_Novel,Rbfox1,0.5471906609960991
20_Novel,Cd63,0.5223079238552368
20_Novel,Ebf3,0.5152458033428857
20_Novel,Aldoc,-0.7894951647935884
20_Novel,Mgat4c,-0.7877700457242531
20_Novel,Slc24a2,-0.7187704705161474
20_Novel,Pex5l,-0.7142688966524362
20_Novel,Cartpt,-0.6711171834260807
20_Novel,Grid2,-0.5900084388768375
20_Novel,Cmss1,-0.583471940299124
20_Novel,Zfp804b,-0.5720719430866722
20_Novel,Fxyd7,-0.5656015059709398
20_Novel,Nrxn1,-0.5613426057503429
20_Novel,Id4,-0.5570396985478958
20_Novel,Bc1,-0.551617155155544
20_Novel,Kcnb2,-0.5450240474409017
20_Novel,Trarg1,-0.5008435317127408
20_Novel,Nrn1,-0.4924209161427237
20_Novel,Tmsb10,-0.4807028613924309
20_Novel,Car2,-0.47902708325689747
20_Novel,Trpm3,-0.47735600907979103
20_Novel,Ly6h,-0.47632077641956677
