Name	Marker	Curated	Queried	Major_Name
AC22	Sorcs1		Queried	AC
AC22	Tenm1		Queried	AC
AC22	Vip		Queried	AC
AC23	Ai593442		Queried	AC
AC23	Aldoc		Queried	AC
AC23	Ank2		Queried	AC
AC23	Ank3		Queried	AC
AC23	Caln1		Queried	AC
AC23	Kcnip1		Queried	AC
AC23	Lamp5		Queried	AC
AC23	Mgat4c		Queried	AC
AC23	Nrg1_ensmusg00000062991		Queried	AC
AC23	Opcml		Queried	AC
AC23	P3h2		Queried	AC
AC23	Pcdh17		Queried	AC
AC23	Pcdh9		Queried	AC
AC23	Prkca		Queried	AC
AC23	Ptprm		Queried	AC
AC23	Rasgrp1	Curated		AC
AC23	Robo1		Queried	AC
AC23	Scg2		Queried	AC
AC23	Slc8a1		Queried	AC
AC23	Sorcs1		Queried	AC
AC23	Tenm1		Queried	AC
AC24	Cntnap5b		Queried	AC
AC24	Ebf1		Queried	AC
AC24	Gpc6		Queried	AC
AC24	Hif1a		Queried	AC
AC24	Kcnb2		Queried	AC
AC24	Kctd16		Queried	AC
AC24	Lrfn5		Queried	AC
AC24	Lrp1b		Queried	AC
AC24	Neurod6	Curated		AC
AC24	Pcdh9		Queried	AC
AC24	Ppp1r17		Queried	AC
AC24	Prkg1		Queried	AC
AC24	Resp18		Queried	AC
AC24	Sorcs3		Queried	AC
AC25	Adamtsl1		Queried	AC
AC25	Adgrb3		Queried	AC
AC25	C1ql1		Queried	AC
AC25	Calb2		Queried	AC
AC25	Camk2d		Queried	AC
AC25	Chgb		Queried	AC
AC25	Cntnap5a		Queried	AC
AC25	Dlgap2		Queried	AC
AC25	Galntl6		Queried	AC
AC25	Gpc6		Queried	AC
AC25	Hs6st3		Queried	AC
AC25	Il1rapl2		Queried	AC
AC25	Khdrbs3		Queried	AC
AC25	Opcml		Queried	AC
AC25	Pcp4		Queried	AC
AC25	Pou6f2		Queried	AC
AC25	Robo2		Queried	AC
AC25	Stmn2		Queried	AC
AC25	Tpbg	Curated		AC
AC26	Abi3bp	Curated		AC
AC26	Csmd1		Queried	AC
AC26	Dcc		Queried	AC
AC26	Emb		Queried	AC
AC26	Epha5		Queried	AC
AC26	Kcnip1		Queried	AC
AC26	Mgat4c		Queried	AC
AC26	Nfia		Queried	AC
AC26	Nrg1_ensmusg00000062991		Queried	AC
AC26	Nrsn1		Queried	AC
AC26	Ntrk3		Queried	AC
AC26	Plcb1		Queried	AC
AC26	Ptprm		Queried	AC
AC26	Ralyl		Queried	AC
AC26	Scg2		Queried	AC
AC26	Vip		Queried	AC
AC27	Cadm1		Queried	AC
AC27	Car10		Queried	AC
AC27	Cntnap2		Queried	AC
AC27	Dmd		Queried	AC
AC27	Dpp6		Queried	AC
AC27	Filip1l		Queried	AC
AC27	Galntl6		Queried	AC
AC27	Igsf3	Curated		AC
AC27	Inpp4b		Queried	AC
AC27	Kirrel3		Queried	AC
AC27	Lrrtm4		Queried	AC
AC27	Pcp4		Queried	AC
AC27	Pde4b		Queried	AC
AC27	Pex5l		Queried	AC
AC27	Synpr		Queried	AC
AC27	Tenm4		Queried	AC
AC27	Unc13c		Queried	AC
AC27	Unc5d		Queried	AC
AC27	Zfhx3		Queried	AC
AC28	Brinp3		Queried	AC
AC28	Car10		Queried	AC
AC28	Dab1		Queried	AC
AC28	Dcc		Queried	AC
AC28	Erbb4		Queried	AC
AC28	Fgf14		Queried	AC
AC28	Hs6st3		Queried	AC
AC28	Mdga2		Queried	AC
AC28	Nfib	Curated		AC
AC28	Ntm		Queried	AC
AC28	Ntng1		Queried	AC
AC28	Opcml		Queried	AC
AC28	Pcdh17		Queried	AC
AC28	Pde10a		Queried	AC
AC28	Sgcd		Queried	AC
AC29	Csmd1		Queried	AC
AC29	Dmd		Queried	AC
AC29	Galntl6		Queried	AC
AC29	Glra1	Curated	Queried	AC
AC29	Id4		Queried	AC
AC29	Khdrbs3		Queried	AC
AC29	Lrp1b		Queried	AC
AC29	Meis2		Queried	AC
AC29	Myo16		Queried	AC
AC29	Nckap5		Queried	AC
AC29	Nell1		Queried	AC
AC29	Opcml		Queried	AC
AC29	Pcdh9		Queried	AC
