Cell,Subclass,Ensembl,Gene,Coefficient
RGC,17_Tbr1_S1,ENSMUSG00000019888,Mgat4c,-0.6249887297615146
RGC,17_Tbr1_S1,ENSMUSG00000005716,Pvalb,-0.5991106975791396
RGC,17_Tbr1_S1,ENSMUSG00000092341,Malat1,-0.5263386049895353
RGC,17_Tbr1_S1,ENSMUSG00000039539,Sgcz,-0.5200896542770133
RGC,17_Tbr1_S1,ENSMUSG00000064293,Cntn4,-0.509748362755711
RGC,17_Tbr1_S1,ENSMUSG00000039717,Ralyl,-0.46922305714949464
RGC,17_Tbr1_S1,ENSMUSG00000055471,Alk,-0.4582220730111855
RGC,17_Tbr1_S1,ENSMUSG00000060882,Kcnd2,-0.45009362277151604
RGC,17_Tbr1_S1,ENSMUSG00000039607,Rbms3,-0.41784623532177234
RGC,17_Tbr1_S1,ENSMUSG00000029673,Auts2,-0.4141136952289877
RGC,17_Tbr1_S1,ENSMUSG00000052581,Lrrtm4,-0.40820993596989397
RGC,17_Tbr1_S1,ENSMUSG00000024661,Fth1,-0.39582637883333505
RGC,17_Tbr1_S1,ENSMUSG00000028373,Astn2,-0.3920328381240734
RGC,17_Tbr1_S1,ENSMUSG00000051401,Kctd16,-0.385304198484465
RGC,17_Tbr1_S1,ENSMUSG00000029304,Spp1,-0.38515385083578735
RGC,17_Tbr1_S1,ENSMUSG00000022523,Fgf12,-0.38217090969850626
RGC,18_Novel,ENSMUSG00000040420,Cdh18,1.1688869701418811
RGC,18_Novel,ENSMUSG00000059003,Grin2a,0.9963127418995554
RGC,18_Novel,ENSMUSG00000022894,Adamts5,0.7844331484825153
RGC,18_Novel,ENSMUSG00000052581,Lrrtm4,0.776426565223465
RGC,18_Novel,ENSMUSG00000009734,Pou6f2,0.7098474923163349
RGC,18_Novel,ENSMUSG00000038156,Spon1,0.708142626031352
RGC,18_Novel,ENSMUSG00000037161,Mgarp,0.6623991562736048
RGC,18_Novel,ENSMUSG00000030310,Slc6a1,0.6098239966792982
RGC,18_Novel,ENSMUSG00000037428,Vgf,0.5705774473920234
RGC,18_Novel,ENSMUSG00000035566,Pcdh17,0.5464005474548498
RGC,18_Novel,ENSMUSG00000026163,Sphkap,0.5232124721907058
RGC,18_Novel,ENSMUSG00000030772,Dkk3,0.5065963107964359
RGC,18_Novel,ENSMUSG00000066392,Nrxn3,0.5035148377792542
RGC,18_Novel,ENSMUSG00000029212,Gabrb1,0.4994287177377599
RGC,18_Novel,ENSMUSG00000039419,Cntnap2,0.4925235886844827
RGC,18_Novel,ENSMUSG00000017390,Aldoc,0.4872484194339613
RGC,18_Novel,ENSMUSG00000019906,Lin7a,0.4816631870149066
RGC,18_Novel,ENSMUSG00000056222,Spock1,0.46276293707827154
RGC,18_Novel,ENSMUSG00000032625,Thsd7a,0.4334767160486484
RGC,18_Novel,ENSMUSG00000034488,Edil3,0.43038009128358784
RGC,18_Novel,ENSMUSG00000043531,Sorcs1,-1.0361984952945866
RGC,18_Novel,ENSMUSG00000090223,Pcp4,-0.802442950065249
RGC,18_Novel,ENSMUSG00000032452,Clstn2,-0.7557244885345477
RGC,18_Novel,ENSMUSG00000029245,Epha5,-0.7292515018405763
RGC,18_Novel,ENSMUSG00000054640,Slc8a1,-0.6424445745662666
RGC,18_Novel,ENSMUSG00000049252,Lrp1b,-0.6311806803556358
RGC,18_Novel,ENSMUSG00000005716,Pvalb,-0.619066909820347
RGC,18_Novel,ENSMUSG00000021647,Cartpt,-0.6044310319418182
RGC,18_Novel,ENSMUSG00000040037,Negr1,-0.5992945288690934
RGC,18_Novel,ENSMUSG00000036469,Marchf1,-0.5954734406150761
